Method,Name,Error,Occurrences
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/38be584d-3f5b-4f8e-a25a-6a3538d0a402 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288bdf76d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",45
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/b6998580-6674-4264-bc96-5bbde15debca/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877b505b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/24fde1a9-9d09-45c8-8702-9b271f82be4c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cd360a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/50d1d4df-c144-4152-a97f-732ab67e786d/addresses/4db1a0cb-2513-4c77-84be-b4d805657a90 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288933de80>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/0ef8dbbe-6032-42bc-8135-36163b1ffaad/addresses/5773a628-733c-4a64-a9de-932d8f3ceaeb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28893d1c40>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
POST,/prime/v1/mto-service-items,409 Client Error: Conflict for url: https://api.exp.move.mil/prime/v1/mto-service-items,2
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/8ba4f67e-2104-45cf-af7d-26c877c4d296/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d95d340>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/743b1a2c-51a6-4ed5-b3a5-f190d2b51ddf/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877eabac0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7c394b7e-5712-4242-bb0b-a4c91830b9cb/addresses/29022bc4-dcf4-4f8b-b69b-3026f952de66 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889566850>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/99dbf783-595c-4af4-988b-200724e806ab/agents/094934ef-5aef-4673-a3fe-f9519da91682 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889566190>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/ebd8e494-bccb-490f-9ee3-7a1f237c1a12/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888b46e80>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/830e1df3-4cf3-4a45-b066-9b80f6cf3f8b/addresses/8af58761-30fa-4b0c-bc3d-8b6d630134a6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889523760>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f744d9c3-1dc5-42c8-ae81-d532d81e983d/addresses/8b0b57f7-dead-400e-8fbc-f6fa276a162b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28764f0df0>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/54eb06c6-0e22-455b-abcd-359e956ebad1 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d9b7760>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/f744d9c3-1dc5-42c8-ae81-d532d81e983d/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876dea070>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/2033b564-2583-4009-a6ff-b9bf9e93790c/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889872a00>: Failed to establish a new connection: [Errno 111] Connection refused'))",20
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bab37332-d0a9-4c4a-9395-567032acc0be/addresses/625dfebc-a419-4192-8d4b-188f7431c444 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877b541c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/299dc44b-75fd-4dd1-b5f9-80b17a07cdfc/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d7f3fa0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/ade7687e-0a16-4680-b652-3d96e4e44703/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889b47940>: Failed to establish a new connection: [Errno 111] Connection refused'))",30
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f62e3f26-0e4d-4b06-9d49-6b4490fb821b/addresses/ad5dc8b1-f061-42d2-abdc-385df0752971 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888cc0100>: Failed to establish a new connection: [Errno 111] Connection refused'))",17
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/dc514939-c134-497e-9b79-1f4891c7a7b0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28763fc4c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/ab72b6a5-546b-41fd-ae4e-ed6d8168aef8/agents/bcf92436-1a1c-4b1d-bb22-013444d45fea (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28886323d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/8b75cd70-2e7d-480e-a7f4-2299e7bdb3da/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28891a47f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",34
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e6a3d0c1-9998-4d37-b3f2-2aed3afcaeb2/addresses/0471f592-a7dc-4558-b62e-6e423c93629b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28890a5820>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/dbdeafbd-daa9-4c62-90b9-3494cb47fe5e (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288be1ffd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",9
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/742128e5-90b8-4bfb-98f8-608a494b7ab8 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a72f04f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/ffadb711-ebaf-474e-96f5-e57cc004953b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a41d9f70>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/24aaa713-9315-4b31-93e1-50f9c47abbfb/addresses/7c814f38-95fa-4d34-b064-474d4f1cb4bc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a58bd3d0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/36525892-5857-4f80-8d0a-8021bf85a671 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889873580>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
