Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e62025fe-9fcf-4496-88a9-b977fa4566f2/agents/ede81792-25df-4588-94b0-087c89c7c3ca (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288936d6a0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/72e80871-7f2f-4b42-ab52-6173c5ef0547 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a5590850>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b773b1ec-7258-44b4-9c54-8ffa94a4734d/addresses/193d739b-ab8a-43e1-a715-9cfcaf8d58be (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28772639d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/85a08db5-8155-4a84-95a8-9bd086936932/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28778e4ac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/e8de7630-b7a7-4914-a8e6-7f4dc7f1a552/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876488d00>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/56604faa-8b13-48f0-ac1e-a211ab3670a8 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889b98ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/abd193b2-80a3-453c-85a2-cea3ac2e06f7/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28895f2ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/78be10a2-a31c-4382-b5fe-cbeeaf9fa6ae/agents/c78d0ff5-9d9d-4bf3-bf43-959eb0246093 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a73941c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/eb08a8e8-7695-4a54-98f0-ce8772e1f04e/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28768bbac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",9
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/3b134b6b-23b4-40a2-b6b5-0c01089a2181/agents/309fa5aa-b45b-4ae8-bbbb-64b4e3bc775c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877c49310>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/349cf0b3-57e6-4661-91b4-7cae4fd51e35/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888f13d00>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/299dc44b-75fd-4dd1-b5f9-80b17a07cdfc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28894bb2b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,401 Client Error: Unauthorized for url: /support/v1/payment-requests/{paymentRequestID}/status,33
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/78be10a2-a31c-4382-b5fe-cbeeaf9fa6ae (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288889d820>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/1c1edfb6-13e4-4448-846e-2582ca25773c/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888d0fc10>: Failed to establish a new connection: [Errno 110] Connection timed out'))",6
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/71f24174-5764-4550-86ea-9115afa293c0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cc9e310>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/05185670-ab34-4fa7-aa23-2bdd4b16b42b/agents/cd84be29-ddf8-4197-b15f-10c6b044e49c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d0f4a90>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/0c61a920-9890-454d-b52d-4c2de4781b73 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e9ae2b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/09d940ab-ad28-4bcb-8563-79d6f4f01f9b/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289c2b9430>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/d50dc29d-751f-4235-8ca2-486db111f6eb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28893d01f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",15
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/80fa1b9c-34cd-4e5e-a96e-4fbf37f62167/addresses/f83cfd49-57b8-421d-9253-6ee216929d9a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877c980a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/031117f0-3c63-43c6-bccf-47eedd0488d8 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289da9cb20>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7c394b7e-5712-4242-bb0b-a4c91830b9cb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a7279a30>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/458fc3fb-d62e-45e7-aefc-edcd3ca4196a/addresses/86d7e486-9e5b-4326-81fc-8e67c12844d4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2875c11730>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/0fe037dd-2d8e-477a-a2b2-88678b9dde2c/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876526d90>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
GET,/prime/v1/move-task-orders,"('Connection aborted.', OSError(0, 'Error'))",114
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/cbb55ff6-8ce4-427b-98e2-98775ab9c14f/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cdf64c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",18
GET,/prime/v1/move-task-orders,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a403b130>: Failed to establish a new connection: [Errno 110] Connection timed out'))",375
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/3c0eb7d1-cd95-4afe-b76e-797d5c6933b6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cd38e50>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/0d893bc0-c8fd-4f92-a874-1c847cdff152 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cd35190>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/ceda32b8-c729-486e-a232-0b6ed5ab529a/addresses/3f013453-1a49-4160-9703-111dfa15224c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28779b87f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/358b4207-c65f-4ef9-b7bd-bc46254a17bb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28887b9fa0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/bbfad3bc-476b-447f-a35c-66d382f05453 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a4092910>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b88b1847-e722-4992-b008-5a248c46aaa2/addresses/5205ed73-3e52-484e-b350-7881291cf696 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cdafcd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/6cb32d97-6a6e-4958-af70-864e65bfb71f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877e7db20>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/44a5ec7b-7d0d-4195-964c-2a2248894762 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a576d0d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/11583110-0083-45a7-b767-4c151fe453ec/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877e02f70>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/3b134b6b-23b4-40a2-b6b5-0c01089a2181/agents/2f2168c7-b7f4-47aa-aa6e-757b8701252a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288bd91d00>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/2f4ca29f-f507-4f83-993f-b5b9fdc7a8a4/addresses/c9b7f86d-c43f-43c1-955e-dd76edac40f6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28761de760>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/ef3061f0-1497-4a06-8a82-0ef36e146f19 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289c25e040>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/80d61150-55f0-4583-886e-60aa4aa2e31d/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876fcc550>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/ea06c768-3ad3-47bb-bcf2-7e71d0b6d07a/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877b02b20>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7145df04-7a02-46f1-82b4-cab30952da0d (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888eaaa30>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/4f25dd82-2fbe-48be-a409-4d9cf18a018f/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e7e3f10>: Failed to establish a new connection: [Errno 111] Connection refused'))",35
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/b3d0fb1d-9002-4b15-a654-fc26903da93e/addresses/36760f91-f4a7-48f9-851f-07c77b718bb5 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d0cbe50>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/b4eeb1e0-813b-43bb-89fd-07fbe6d0a343 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888af5070>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/3e315781-fac0-46cf-adcd-ff42d3dbbcb2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877b65f70>: Failed to establish a new connection: [Errno 111] Connection refused'))",237
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/5b037d4d-df10-4de9-b536-af44649e9681/agents/ee247906-102c-417f-bbee-5d7c8ebb2301 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877687a60>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/02e526a1-5d5c-4dd4-ac6a-56e0d05e7435 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d05fe80>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},404 Client Error: Not Found for url: /prime/v1/mto-service-items/{mtoServiceItemID},1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/7631bb06-2e38-4dbf-8b5b-78a1e63f093f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288be5e5e0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/ab72b6a5-546b-41fd-ae4e-ed6d8168aef8/addresses/47c3032a-eb07-48f1-8bb3-ac26110ca3e6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888987d90>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/0a4b84bd-4951-4983-b100-6ab66b62d613/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877a01fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/5212fcf5-eed1-4668-880d-85078fce1a08/agents/685a562d-9774-4ec9-9160-d10e4b253f4f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877c95a90>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/cebd44b1-adf5-4fc7-b5da-22a24ce2df47/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d62a490>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/da1b7c18-517d-4456-8947-1087e6401f53/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28763c68e0>: Failed to establish a new connection: [Errno 111] Connection refused'))",27
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/2f8fb8b9-1ed2-41fd-89f4-6659e17f7a58/addresses/de5a4593-a2f6-4f07-a0dd-40479b0235fb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289ff00910>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/3387c8f3-e0e5-4a28-9219-5cce23e37924/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a7318970>: Failed to establish a new connection: [Errno 110] Connection timed out'))",9
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/14108a0f-5697-40e8-9817-883dd70c655f/addresses/68d5c450-67cc-41ce-b6e9-2a3f57ddfcf4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876989250>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/af94ab41-6fd8-4ba2-91ba-b70032cb74e4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2875fa7cd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/99dbf783-595c-4af4-988b-200724e806ab/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28894bbbb0>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/58ef58e4-35f3-40fd-9349-35919feeedf0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a53f4c40>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/504465e9-bd2d-4393-89b1-fd754b525ba2/addresses/6238ac5f-5975-4322-881e-f30460930d64 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877b30370>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/3e04578e-da7c-48e0-8ff8-e03efdd0fef8 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288be1c310>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/58a5c4b2-40f7-4330-83b2-f0fa7628efb1 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888b691f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/1545eba4-d759-4805-bc6c-30f9d9f15733/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888466ca0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/bb9ea1ab-e743-479d-81f1-69aa90be9204/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a4040670>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/91626cc5-e40a-49c1-91bd-2946f73db32c/agents/337bf096-a943-4f9e-a768-7b2df411630f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877ce5df0>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/7c394b7e-5712-4242-bb0b-a4c91830b9cb/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289cdd6c40>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/b112b586-65a0-4999-b55b-0fc602f23b10 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876673eb0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/6399ecca-ddc8-41bb-a51d-ea787a06229e/addresses/bea7fe3b-d7fe-443f-8402-ad2750fc5e10 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289ce05b80>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/63be4dca-30f7-49f5-92f4-48c19b5692d4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f287682ba60>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/277834af-1fc7-4f84-be89-d9ed36143544/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28885eaee0>: Failed to establish a new connection: [Errno 111] Connection refused'))",22
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/654e14d9-bd20-4aaa-8b51-fc39f508bf18 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289c31f820>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
