Method,Name,Error,Occurrences
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c66dae5a-746f-4e98-96e8-c117d38464a8/agents/bc6dd384-e9bc-438f-b044-e4210834b5cf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b068523a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f91fbbf9-45d4-4891-ab12-73e870fa3239/addresses/d36e4608-9803-4a6d-b55f-1aea859297bf (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af05e7b80>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/941970de-ce98-45eb-b78e-7274a7a1a2c4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06ecbeb0>: Failed to establish a new connection: [Errno 111] Connection refused'))",14
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/14829702-d2cd-4d1d-83e5-1e48f7301b57/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05eacf10>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/6a5f62c7-90cd-410c-8a8e-efa104f1c8db/agents/b659cb81-7aa8-4b00-9b2e-604ac1736aaa (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07294070>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7930d547-bb6a-4e7f-92c1-8ca72c2e7252/agents/79fa3734-6b35-409d-84e4-7444a5fa7988 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af157c610>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/2ad7866a-1775-4bbe-8ee8-ea2fa6e122a7/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05b14f40>: Failed to establish a new connection: [Errno 111] Connection refused'))",20
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bc5e857a-84a5-4edb-b34b-f317ed74d07e/addresses/287d60a5-5d0d-46a1-bcee-5714060bcc4f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af16f5a90>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
POST,/prime/v1/mto-shipments,"('Connection aborted.', OSError(0, 'Error'))",23
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/74e33d1f-d813-45c4-9503-6893ea688a1f (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05ef87c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bd28458c-d88b-4267-8b4a-da73a62ba75a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1542220>: Failed to establish a new connection: [Errno 110] Connection timed out'))",5
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",195
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/16b72362-d76a-4f3e-b574-cf69e94add5b/agents/0b1b0641-8482-4d8a-aaee-b447e350cf23 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0e64dc10>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/fe39e9f5-a4b9-47c6-bb0b-aee1a848f93d/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0695b8b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",19
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/16b72362-d76a-4f3e-b574-cf69e94add5b/addresses/becbe79b-462e-400b-91d5-f617a6c63a46 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07391e50>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/c36edc4b-04a3-4255-8876-9bf8341be1e1/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0fb9c10>: Failed to establish a new connection: [Errno 111] Connection refused'))",17
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/02644cf6-0d0e-4295-a272-856b4d17e203 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b069512e0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/fe39e9f5-a4b9-47c6-bb0b-aee1a848f93d/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05f187f0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/f6b86308-8866-4f23-8bce-a5205e778b99/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b070dd6a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d06be23b-0043-48da-aee5-698e9af07afa/addresses/5c133bba-4306-4367-9798-d535b50e7feb (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07037490>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/cae2b5d3-d482-4358-a10b-70542d4ecd7f/agents/837bd4ba-e462-45c1-8e52-7a4de86377b4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05bf5ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/aa0f4212-8780-4011-822d-5d56c50e387b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b079d62b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/322a7d8b-56d4-47bd-9649-c5c9e7f19dff/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07a7a3d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",22
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c82b808e-6326-4568-a5aa-d9f00e1b45fa (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0956760>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/83c90d98-0828-4e35-a155-0f787d3f05c3/agents/68aef49d-0ce0-4f73-8f62-9ca791f59857 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af155e130>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c8244fa4-b0f5-40a2-aee0-47341c613aef/agents/0ee9a0c1-b925-4369-9471-4a0ad379f74a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0636f5b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/de2a2762-2588-47e8-821e-1391ac1943fe (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06d9e070>: Failed to establish a new connection: [Errno 111] Connection refused'))",16
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/9b4b7109-6f6e-4a32-a528-9a0108dc2faa/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c4a0790>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c0776cbb-5853-4011-afad-8adeb8bf5377/addresses/4e2c268f-5213-4db0-bb16-3a132925c7b5 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0664f160>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/61caa6aa-fe57-43ce-ada3-c4596377f5e2/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05a08370>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/1230c1a5-7699-4f14-bbd2-3dc0c728f68c/agents/c053d15b-7483-4e8b-85ff-d95be1dc349c (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0486100>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/1192e165-3e71-4fad-85ab-26dc2801ea26/addresses/10969535-bad3-4280-ae59-9f178c2fc2b0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07551550>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/66747c52-e48e-4175-9c35-0daf001df7c2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c10ed60>: Failed to establish a new connection: [Errno 111] Connection refused'))",37
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/90227b72-cdb3-4bc4-8812-9f130a7911b7/addresses/cffdaaed-cfe8-490f-bbb8-8d3af3b28704 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06a3b0d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f6b86308-8866-4f23-8bce-a5205e778b99/addresses/7737b596-3021-4a50-8c46-51d87c0c9b57 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1663910>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/c5a1713f-a184-4487-bfe6-10aa0c12125a (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0701f940>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/666c1f55-b9c1-4482-8fa6-f98dbadd857b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0678fa30>: Failed to establish a new connection: [Errno 110] Connection timed out'))",6
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/10b3508d-10a4-4a93-812e-636e0074ee1e/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b040c37f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",22
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bd28458c-d88b-4267-8b4a-da73a62ba75a/addresses/1e311b38-0799-4147-ab4d-9f13dc8b7c77 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af15b8df0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c66dae5a-746f-4e98-96e8-c117d38464a8/addresses/156cddac-745b-419b-a4a7-8af3a6d9a845 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06afa9a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/b6e92ab9-06e4-4600-adba-8548915adcf9/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af1629460>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/bc5e857a-84a5-4edb-b34b-f317ed74d07e/agents/8de7789a-e1be-4348-9867-e7f36df82737 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0b689d0>: Failed to establish a new connection: [Errno 111] Connection refused'))",11
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f6b86308-8866-4f23-8bce-a5205e778b99 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0403dbe0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/108fc766-2e38-4480-b6c9-6686d47144f0/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b065c1940>: Failed to establish a new connection: [Errno 111] Connection refused'))",19
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/abb0c374-b9f3-41a3-961f-8d2a0eb416e9/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b063c4ac0>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/9cdafdf0-3c7b-4340-96c8-2eb740cf46b5/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05d92fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/a652f1c9-79a7-49a9-8d12-a0568d029185/addresses/99f44af4-4318-48fa-aed4-f5106880b190 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c5a65b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/f6b86308-8866-4f23-8bce-a5205e778b99/agents/6fb11a64-4e53-4c45-b566-e57d1da0cdd7 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b066b6520>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/6e254906-f909-40e0-9729-c7d67fe09bc6/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af13cd520>: Failed to establish a new connection: [Errno 111] Connection refused'))",10
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/029c8f58-0754-48ca-9ba4-efe93ab8d282/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b068e5610>: Failed to establish a new connection: [Errno 111] Connection refused'))",14
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/265de9a9-158f-434b-a95a-c0dac4abe451 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0c51bb20>: Failed to establish a new connection: [Errno 110] Connection timed out'))",6
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/6f075018-48ec-4955-9c85-5f94ec72f756/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0a44af0>: Failed to establish a new connection: [Errno 111] Connection refused'))",18
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/bf59f607-92c5-4521-a3be-b52f2e9b0213/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0403f490>: Failed to establish a new connection: [Errno 111] Connection refused'))",24
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/029c8f58-0754-48ca-9ba4-efe93ab8d282 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06827070>: Failed to establish a new connection: [Errno 111] Connection refused'))",5
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d30f7c78-9a12-4f08-aa40-5fb6b0d6f426 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af14c52b0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",3
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/548e07c3-bbcf-448d-af2a-8749430c9b83/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07862fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))",33
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/3c55ac2e-0c25-405b-aec0-29f938136be0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0664f4c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c92c0cb7-f3df-409c-b0dc-b2534deb9537 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b073f5190>: Failed to establish a new connection: [Errno 111] Connection refused'))",3
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/02644cf6-0d0e-4295-a272-856b4d17e203/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0413a790>: Failed to establish a new connection: [Errno 111] Connection refused'))",17
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/77c9050c-3d43-4116-a29a-53f78f41381b (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af05a68e0>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/d06be23b-0043-48da-aee5-698e9af07afa (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06835af0>: Failed to establish a new connection: [Errno 111] Connection refused'))",11
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/807a9f42-8044-485d-a499-397b2476e1a5/addresses/6b9d9398-8d40-4569-a36c-542f47e98089 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06951310>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/c66dae5a-746f-4e98-96e8-c117d38464a8/addresses/ed418cc3-b0fe-4a0e-a47f-6384474ae18e (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b04049a30>: Failed to establish a new connection: [Errno 111] Connection refused'))",4
GET,/support/v1move-task-orders/{moveTaskOrderID},"('Connection aborted.', OSError(0, 'Error'))",18
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/0d893bc0-c8fd-4f92-a874-1c847cdff152 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b066301f0>: Failed to establish a new connection: [Errno 111] Connection refused'))",32
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/4d482237-8048-47ef-90db-77caa0eea199/addresses/9cc6e101-a0e7-4bea-bccb-5e2c0e73a65e (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b077669a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/9b3e0638-9944-4403-8dbf-0123ea6d7471/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0ae0610>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/73bec17b-0876-49e4-968e-a73c472b4975/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b040f37c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",18
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/cd8651e4-a63b-47dd-ae45-3b1d4d1a7ed4/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af156a700>: Failed to establish a new connection: [Errno 110] Connection timed out'))",5
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/8f4cdba4-328d-4d28-86bc-0d979d674e72/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17d2040>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/7fc34bea-8191-49a4-a1f5-4a9947a7d311/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17b0700>: Failed to establish a new connection: [Errno 111] Connection refused'))",38
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/8b53559f-2b0d-4ac8-b0f9-565bd8b807f2/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b05fd7460>: Failed to establish a new connection: [Errno 110] Connection timed out'))",6
